"team","round","opponent","win"
"Bonneville LD","Round 3","Kearns PA",1
"Centennial HH","Round 3","Glenbrook North JK",0
"College Prep LN","Round 3","Green River MM",1
"Eagle GW","Round 3","Juan Diego CS",0
"GPS PK","Round 3","Boise DR",1
"Head Royce HW","Round 3","Green River NW",1
"Logan JD","Round 3","Brighton OR",0
"Logan TX","Round 3","Brighton WJ",1
"OES GR","Round 3","Green River BH",1
"Sky View CS","Round 3","Lone Peak MK",0
"Brighton WJ","Round 3","Logan TX",0
"Green River BH","Round 3","OES GR",0
"Green River CR","Round 3","Logan AC",0
"Green River LL","Round 3","Copper Hills LI",0
"Green River MM","Round 3","College Prep LN",0
"Kearns PA","Round 3","Bonneville LD",0
"Sky View MN","Round 3","Albequerque AS",0
"Head Royce PC","Round 4","George Washington AC",1
"Rowland Hall LG","Round 4","Meadows BN",1
"SVDP HM","Round 4","Interlake HY",1
"College Prep HS","Round 4","Ingraham GW",1
"Interlake DS","Round 4","Sage Ridge KR",1
"Juan Diego AB","Round 4","College Prep HW",1
"Juan Diego DM","Round 4","Copper Hills WL",1
"Meadows BN","Round 4","Rowland Hall LG",0
"Notre Dame CF","Round 4","Bingham WW",1
"Skyline HL","Round 4","Rowland Hall BL",1
"Bingham WW","Round 4","Notre Dame CF",0
"Boise ML","Round 4","Kearns PA",1
"College Prep MR","Round 4","Interlake GJ",1
"Denver Independent RW","Round 4","West BL",0
"Desert Vista LQ","Round 4","Sky View ML",0
"Eagle CW","Round 4","Kent Denver KK",1
"George Washington AC","Round 4","Head Royce PC",0
"Glenbrook North JK","Round 4","Hillcrest OM",1
"Glenbrook North LM","Round 4","Copper Hills BT",1
"Highland GO","Round 4","Layton NL",1
"Interlake GJ","Round 4","College Prep MR",0
"Interlake HY","Round 4","SVDP HM",0
"Interlake LL","Round 4","College Prep MH",1
"Notre Dame AM","Round 4","College Prep CG",0
"Notre Dame He","Round 4","Eagle EE",1
"OES LJ","Round 4","SVDP PR",1
"Renaissance DM","Round 4","Ingraham JK",0
"Rowland Hall BL","Round 4","Skyline HL",0
"Rowland Hall BM","Round 4","Centennial MX",1
"Sky View ML","Round 4","Desert Vista LQ",1
"West BL","Round 4","Denver Independent RW",1
"College Prep CG","Round 4","Notre Dame AM",1
"Boise SV","Round 4","Head Royce HW",1
"Centennial TW","Round 4","Rowland Hall DS",1
"College Prep HW","Round 4","Juan Diego AB",0
"College Prep MH","Round 4","Interlake LL",0
"Copper Hills WL","Round 4","Juan Diego DM",0
"Ingraham GW","Round 4","College Prep HS",0
"Ingraham JK","Round 4","Renaissance DM",1
"Kent Denver KK","Round 4","Eagle CW",0
"Sage Ridge KR","Round 4","Interlake DS",0
"West TG","Round 4","Skyline DZ",1
"Centennial MX","Round 4","Rowland Hall BM",0
"Bingham HM","Round 4","Rowland Harker KS",0
"Capital LL","Round 4","Albquerque AS",0
"Copper Hills BT","Round 4","Glenbrook North LM",0
"Eagle EE","Round 4","Notre Dame He",0
"George Washington MK","Round 4","Green River LL",1
"Hillcrest OM","Round 4","Glenbrook North JK",0
"Juan Diego MP","Round 4","Brighton TS",1
"Layton NL","Round 4","Highland GO",0
"Lionel Wilson HS","Round 4","Juan Diego CS",0
"Littleton LS","Round 4","OES GR",1
"Rowland Hall DS","Round 4","Centennial TW",0
"Rowland Hall NB","Round 4","Bonneville LD",1
"Rowland Harker KS","Round 4","Bingham HM",1
"Skyline DZ","Round 4","West TG",0
"SVDP PR","Round 4","OES JL",0
"West MP","Round 4","Logan AC",0
"Albuquerque AS","Round 4","Captial LL",1
"Bingham SS","Round 4","Logan TX",1
"Brighton OR","Round 4","GPS PK",1
"Copper Hills LI","Round 4","College Prep LN",1
"Juan Diego CS","Round 4","Lionel Wilson HS",1
"Logan AC","Round 4","West MP",1
"Lone Peak MK","Round 4","Capital HL",1
"Brighton TS","Round 4","Juan Diego MP",0
"Capital HL","Round 4","Lone Peak MK",0
"Green River NW","Round 4","BYE",1
"Boise DR","Round 4","Green River CR",1
"Bonneville LD","Round 4","Rowland Hall NB",0
"Centennial HH","Round 4","Green River BH",1
"College Prep LN","Round 4","Copper Hills LI",0
"Eagle GW","Round 4","Sky View MN",1
"GPS PK","Round 4","Brighton OR",0
"Head Royce HW","Round 4","Boise SV",0
"Logan JD","Round 4","Brighton WJ",1
"Logan TX","Round 4","Bingham SS",0
"OES GR","Round 4","Littleton LS",0
"Sky View CS","Round 4","Green River MM",1
"Brighton WJ","Round 4","Logan JD",0
"Green River BH","Round 4","Centennial HH",0
"Green River CR","Round 4","Boise DR",0
"Green River LL","Round 4","George Washington MK",0
"Green River MM","Round 4","Sky View CS",0
"Kearns PA","Round 4","Boise ML",0
"Sky View MN","Round 4","Eagle GW",0
"Head Royce PC","Round 5","Juan Diego AB",1
"Rowland Hall LG","Round 5","Sky View ML",1
"SVDP HM","Round 5","Glenbrook North LM",1
"College Prep HS","Round 5","Interlake HY",1
"Interlake DS","Round 5","College Prep HW",1
"Juan Diego AB","Round 5","Head Royce PC",0
"Juan Diego DM","Round 5","OES LJ",1
"Meadows BN","Round 5","Notre Dame He",1
"Notre Dame CF","Round 5","Skyline HL",0
"Skyline HL","Round 5","Notre Dame CF",1
"Bingham WW","Round 5","Glenbook North JK",0
"Boise ML","Round 5","Juan Diego CS",1
"College Prep MR","Round 5","Eagle CW",1
"Denver Independent RW","Round 5","Logan AC",1
"Desert Vista LQ","Round 5","George Washington AC",1
"Eagle CW","Round 5","College Prep MR",0
"George Washington AC","Round 5","Desert Vista LQ",0
"Glenbrook North JK","Round 5","Bingham WW",1
"Glenbrook North LM","Round 5","SVDP HM",0
"Highland GO","Round 5","Centennial TW",1
"Interlake GJ","Round 5","Littleton LS",1
"Interlake HY","Round 5","College Prep HS",0
"Interlake LL","Round 5","West BL",0
"Notre Dame AM","Round 5","Rowland Hall NB",1
"Notre Dame He","Round 5","Meadows BN",0
"OES LJ","Round 5","Juan Diego DM",0
"Renaissance DM","Round 5","George Washington MK",1
"Rowland Hall BL","Round 5","College Prep CG",1
"Rowland Hall BM","Round 5","Ingraham JK",1
"Sky View ML","Round 5","Rowland Hall LG",0
"West BL","Round 5","Interlake LL",1
"College Prep CG","Round 5","Rowland Hall BL",0
"Boise SV","Round 5","SVDP PR",1
"Centennial TW","Round 5","Highland GO",0
"College Prep HW","Round 5","Interlake DS",0
"College Prep MH","Round 5","Eagle EE",1
"Copper Hills WL","Round 5","College Prep LN",1
"Ingraham GW","Round 5","Centenial MX",1
"Ingraham JK","Round 5","Rowland Hall BM",0
"Kent Denver KK","Round 5","Layton NL",1
"Sage Ridge KR","Round 5","Juan Diego MP",1
"West TG","Round 5","Rowland Hall DS",1
"Centennial MX","Round 5","Ingraham GW",0
