"team","round","opponent","win"
"Wayzata KS","Round 2","Asian Debate League CC",1
"WDMV DS","Round 2","Walter Payton BC",0
"Westminster ZB","Round 2","Brooklyn Independent EW",0
"Aberdeen Central PF","Round 2","Glenbrook South CL",0
"Aberdeen Central RJ","Round 2","Iowa City West BW",0
"Asian Debate League CC","Round 2","Wayzata KS",0
"Asian Debate League CH","Round 2","Edgemont JM",0
"Asian Debate League TS","Round 2","Whitney Young RJ",0
"Clovis North SM","Round 2","Traverse City Central CF",0
"Eagan SS","Round 2","New Trier BK",0
"Edina KE","Round 2","Roseville Area CH",1
"Holy Cross SS","Round 2","SPASH GM",0
"Kent Denver HM","Round 2","Rosemount SF",1
"Minneapolis South FN","Round 2","Roosevelt OP",0
"Niles West BS","Round 2","Lexington RZ",0
"Niles West CB","Round 2","Northside CP BE",0
"Northside CP KS","Round 2","Lexington DC",0
"Walter Payton PY","Round 2","Rowland Hall GL",0
"Wayzata BH","Round 2","Kent Denver KK",0
"Wayzata So","Round 2","Glenbrook South CA",0
"Wayzata WG","Round 2","WDMV HH",0
"Appleton East MR","Round 2","Meadows BN",0
"Eagan GP","Round 2","Denver Independent RW",0
"Eagan LQ","Round 2","Calhoun KF",0
"Glenbrook South RF","Round 2","Edina CS",0
"Groves GM","Round 2","Glenbrook South PV",0
"Highland Park MT","Round 2","Wayzata DD",0
"Rosemount SF","Round 2","Kent Denver HM",0
"Roseville Area CH","Round 2","Edina KE",0
"Bloomington AB","Round 2","East Kentwood BO",0
"Rosemount BS","Round 2","St Paul GS",0
"Little Rock Central WW","Round 3","Glenbrook South PV",1
"Walter Payton BC","Round 3","Whitney Young RJ",1
"Clovis North HP","Round 3","Iowa City West BW",1
"East Kentwood BO","Round 3","Traverse City Central CF",1
"Edgemont JM","Round 3","Lexington DC",1
"Highland Park BD","Round 3","Edina CS",1
"Homewood-Flossmoor HL","Round 3","Glenbrook North BL",1
"Peninsula TW","Round 3","Wayzata KS",1
"Rowland Hall GL","Round 3","Glenbrook South CA",0
"Westminster CK","Round 3","Peninsula JK",1
"Centennial LP","Round 3","New Trier BK",0
"Denver Arts School IH","Round 3","Niles West SP",0
"Denver Independent RW","Round 3","Westminster CB",1
"Glenbrook North BL","Round 3","Homewood-Flossmoor HL",0
"Glenbrook North CR","Round 3","Meadows BN",1
"Glenbrook South CA","Round 3","Rowland Hall GL",1
"Glenbrook South RS","Round 3","New Trier SH",1
"Glenbrook South SS","Round 3","Edina KE",1
"Iowa City West TR","Round 3","St Paul GS",0
"Iowa City WZ","Round 3","Whitney Young BF",1
"Lexington DC","Round 3","Edgemont JM",0
"Lexington RZ","Round 3","Northside CP VK",1
"McDonogh NJ","Round 3","Rosemount SF",1
"New Trier BK","Round 3","Centennial LP",1
"Niles West GG","Round 3","Sioux Falls Lincoln JH",1
"Peninsula JK","Round 3","Westminster CK",0
"Traverse City Central CF","Round 3","East Kentwood BO",0
"Westminster DH","Round 3","Aberdeen Central PF",1
"Whitney Young BF","Round 3","Iowa City WZ",0
"Whitney Young RJ","Round 3","Walter Payton BC",0
"Bloomington MW","Round 3","Rosemount KS",1
"Calhoun KF","Round 3","Whitney Young FS",0
"Edina CS","Round 3","Highland Park BD",0
"Edina RL","Round 3","Niles West TG",1
"Edina WS","Round 3","Washburn DE",1
"Encinitas WW","Round 3","WDMV HH",0
"Glenbrook North FT","Round 3","Highland Park MT",1
"Glenbrook South BK","Round 3","Brooklyn Independent EW",1
"Glenbrook South CL","Round 3","Berkeley Prep KY",1
"Greenhill WM","Round 3","Northside CP SJ",1
"Iowa City West BW","Round 3","Clovis North HP",0
"Lexington ML","Round 3","Georgetown Day BS",1
"Marist AV","Round 3","Kent Denver KK",1
"New Trier SH","Round 3","Glenbrook South RS",0
"Niles West NR","Round 3","Wayzata DD",0
"Niles West SP","Round 3","Denver Arts School IH",1
"Northside CP BE","Round 3","Rufus King GR",0
"Rowland Hall BL","Round 3","Iowa City West JW",0
"Rowland Hall MB","Round 3","Greenhill GR",1
"Sioux Falls Lincoln JH","Round 3","Niles West GG",0
"SPASH GM","Round 3","Roosevelt OP",1
"St Paul GS","Round 3","Iowa City West TR",1
"Wayzata MS","Round 3","Berkeley Prep SS",1
"Wayzata SH","Round 3","Lexington XW",1
"WDMV HH","Round 3","Encinitas WW",1
"Westminster CB","Round 3","Denver Independent RW",0
"Whitney Young FS","Round 3","Calhoun KF",1
"Whitney Young SO","Round 3","Glenbrook South RF",1
"Berkeley Prep KY","Round 3","Glenbrook South CL",0
"Berkeley Prep SS","Round 3","Wayzata MS",0
"Brooklyn Independent EW","Round 3","Glenbrook South BK",0
"Eagan RW","Round 3","Asian Debate League CC",1
"Georgetown Day BS","Round 3","Lexington ML",0
"Glenbrook South PV","Round 3","Little Rock Central WW",0
"Greenhill GR","Round 3","Rowland Hall MB",0
"Groves GS","Round 3","Wayzata BH",1
"Iowa City KK","Round 3","Walter Payton MS",0
"Iowa City West JW","Round 3","Rowland Hall BL",1
"Kent Denver KK","Round 3","Marist AV",0
"Lexington XW","Round 3","Wayzata SH",0
"Meadows BN","Round 3","Glenbrook North CR",0
"Niles West TG","Round 3","Edina RL",0
"Northside CP SJ","Round 3","Greenhill WM",0
"Northside CP VK","Round 3","Lexington RZ",0
"Roosevelt OP","Round 3","SPASH GM",0
"Rosemount KS","Round 3","Bloomington MW",0
"Rufus King GR","Round 3","Northside CP BE",1
"Walter Payton MS","Round 3","Iowa City KK",1
"Washburn DE","Round 3","Edina WS",0
"Washburn HK","Round 3","Wayzata So",1
"Wayzata AC","Round 3","Niles West BS",1
"Wayzata AJ","Round 3","Minneapolis South FN",1
"Wayzata DD","Round 3","Niles West NR",1
"Wayzata KS","Round 3","Peninsula TW",0
"WDMV DS","Round 3","Westminster ZB",1
"Westminster ZB","Round 3","WDMV DS",0
"Aberdeen Central PF","Round 3","Westminster DH",0
"Aberdeen Central RJ","Round 3","Eagan LQ",1
"Asian Debate League CC","Round 3","Eagan RW",0
"Asian Debate League CH","Round 3","Groves GM",1
"Asian Debate League TS","Round 3","Eagan SS",1
"Clovis North SM","Round 3","Bloomington AB",1
"Eagan SS","Round 3","Asian Debate League TS",0
