"team","round","opponent","win"
"Grapevine PS","Round 7","Bronx Science GM",1
"Greenhill KS","Round 7","Millard North HK",1
"Harker SH","Round 7","St. Mark's KP",0
"Harker SJ","Round 7","New Trier WB",1
"Harker WH","Round 7","CPS JM",1
"Head Royce PC","Round 7","Law Magnet GJ",0
"Highland Park BD","Round 7","HoFlo LH",0
"Iowa City ZW","Round 7","Notre Dame PC",0
"Kapaun Mt. Carmel CE","Round 7","University Prep CM",1
"Kinkaid RR","Round 7","Blake NW",1
"Kinkaid YB","Round 7","Pace FM",0
"Lane Tech VH","Round 7","Law Magnet GT",1
"MBA JC","Round 7","Whitney Young SO",1
"MBA RK","Round 7","Blake SW",0
"Meadows BN","Round 7","WDMV HH",1
"Peninsula TW","Round 7","Denver Arts HI",1
"Pine Crest VJ","Round 7","Westminster CB",1
"SME MD","Round 7","Wayzata SL",1
"St. Mark's GW","Round 7","New Trier BK",0
"TCC CF","Round 7","Lexington CD",1
"Walter Payton BC","Round 7","MBA ZY",1
"Wayzata JM","Round 7","Whitney Young BF",1
"Whitney Young RJ","Round 7","Rowland Hall GL",0
"Woodward BP","Round 7","West Bloomfield HH",1
"Alpharetta WC","Round 7","Mukwonago MJ",1
"Bellarmine PS","Round 7","GPS AS",0
"Berkeley Prep EL","Round 7","Greenhill MW",1
"Bishop Guertin ST","Round 7","Bloomington CW",1
"Blake NW","Round 7","Kinkaid RR",0
"Bloomington CW","Round 7","Bishop Guertin ST",1
"Bronx Science GM","Round 7","Grapevine PS",0
"BVSW ZF","Round 7","Edgemont JM",0
"Cathedral Prep LS","Round 7","Little Rock SC",1
"CPS DH","Round 7","ICW KT",1
"CPS JM","Round 7","Harker WH",0
"Cypress Bay VH","Round 7","Bishop Guertin KV",1
"Denver Arts HI","Round 7","Peninsula TW",0
"East Kentwood OB","Round 7","Blue Valley West BB",0
"Edina RL","Round 7","Lindblom TH",1
"Edina WS","Round 7","East Kentwood MR",1
"Evanston FJ","Round 7","Edina CS",1
"GPS MC","Round 7","OPRT PT",1
"Head Royce FD","Round 7","Carrollton TP",1
"Highland GO","Round 7","Northside JS",1
"ICW TR","Round 7","FFT",0
"Jesuit Prep BR","Round 7","Thomas Jefferson PS",1
"Jesuit Prep HL","Round 7","Homestead LS",1
"Jesuit Prep LV","Round 7","Sage Ridge KR",1
"Kent Denver KC","Round 7","Notre Dame FR",1
"Law Magnet GT","Round 7","Lane Tech VH",0
"Lexington CD","Round 7","TCC CF",0
"Lexington LM","Round 7","Kapaun HW",1
"Loyola GT","Round 7","Bellarmine AP",0
"Maine East PS","Round 7","Damien MP",0
"MBA ZY","Round 7","Walter Payton BC",0
"Millard North HK","Round 7","Greenhill KS",0
"New Trier WB","Round 7","Harker SJ",0
"Niles North BB","Round 7","Kapaun PY",1
"Niles West BS","Round 7","Cypress Bay MF",1
"Pace MT","Round 7","Highland Park MM",1
"Rufus King GR","Round 7","Damien JR",1
"SME BP","Round 7","Anderson SG",1
"University Prep CM","Round 7","Kapaun Mt. Carmel CE",0
"Walter Payton MS","Round 7","Cypress Bay HK",1
"Washburn Rural DS","Round 7","Barstow FM",1
"Wayzata SL","Round 7","SME MD",0
"WDMV HH","Round 7","Meadows BN",0
"WDMV SD","Round 7","New Trier HS",1
"West Bloomfield HH","Round 7","Woodward BP",0
"Westminster CB","Round 7","Pine Crest VJ",0
"Westwood HH","Round 7","Alpharetta KK",1
"Whitney Young BF","Round 7","Wayzata JM",0
"Whitney Young SO","Round 7","MBA JC",0
"Woodward AS","Round 7","S. Eugene LS",1
"Alpharetta KK","Round 7","Westwood HH",0
"Anderson SG","Round 7","SME BP",0
"Barstow FM","Round 7","Washburn Rural DS",0
"Berkeley Prep SS","Round 7","Blake BO",1
"Bishop Guertin KV","Round 7","Cypress Bay VH",0
"Bronx Science DK","Round 7","Kent Denver CC",1
"Carrollton TP","Round 7","Head Royce FD",0
"CPS FT","Round 7","Centennial LP",0
"Cypress Bay HK","Round 7","Walter Payton MS",0
"Cypress Bay MF","Round 7","Niles West BS",0
"Damien AY","Round 7","West AL",1
"Damien JR","Round 7","Rufus King GR",0
"Dowling Catholic CH","Round 7","Lane Tech CM",1
"Eagan RW","Round 7","Perry HH",1
"East Kentwood MR","Round 7","Edina WS",0
"Edina CS","Round 7","Evanston FJ",0
"Ft. Lauderdale CW","Round 7","Lane Tech BM",1
"George Washington AC","Round 7","West PM",1
"Grapevine WB","Round 7","UC Lab WD",1
"Greenhill MW","Round 7","Berkeley Prep EL",0
"Highland Park MM","Round 7","Pace MT",0
"Homestead LS","Round 7","Jesuit HL",0
"ICW KT","Round 7","CPS DH",0
"Isidore Newman FL","Round 7","Phoenix Military DL",1
"Isidore Newman ZA","Round 7","Winston Churchill WM",1
"Kapaun Mt. Carmel HW","Round 7","Lexington LM",0
"Lindblom TH","Round 7","Edina RL",0
"Little Rock SC","Round 7","Cathedral Prep LS",0
"Millard North SB","Round 7","Homestead CL",1
"Minneapolis South FN","Round 7","Katy Taylor JF",1
"Mukwonago MJ","Round 7","Alpharetta WC",0
"Neenah DD","Round 7","Wayzata JA",1
"New Trier HS","Round 7","WDMV SD",0
"Niles West RN","Round 7","McDowell WS",1
"Northside BE","Round 7","HoFlo MP",1
"Northside JS","Round 7","Highland GO",0
"Notre Dame FR","Round 7","Kent Denver KC",0
"OPRF PT","Round 7","GPS MC",0
"Pine Crest TC","Round 7","Dougherty Valley FF",1
"Sage Ridge KR","Round 7","Jesuit LV",0
"South Eugene LS","Round 7","Woodward AS",0
"Thomas Jefferson PS","Round 7","Jesuit BR",0
"UC Lab BJ","Round 7","Barstow NF",1
"Union JS","Round 7","Katy Taylor BK",1
"Von Steuben CE","Round 7","Northside KS",1
"Washburn Rural WN","Round 7","Barstow PD",1
"West AL","Round 7","Damien AY",1
"West Bloomfield NA","Round 7","Wooster CL",1
"Barstow DP","Round 7","Washburn Rural WN",0
"Barstow NF","Round 7","UC Lab BJ",0
"Blake BO","Round 7","Berkeley Prep SS",0
"Carrollton PP","Round 7","Mountain Brook HK",1
"Cathedral Prep HK","Round 7","Loyola CC",1
"Desert Vista AG","Round 7","Little Rock MD",0
"Dougherty Valley FF","Round 7","Pine Crest TC",0
"Evanston MM","Round 7","Eric Solorio TB",1
"HoFlo MP","Round 7","Northside BE",0
"Homestead CL","Round 7","Millard North SB",0
"Katy Taylor BK","Round 7","Union JS",0
"Katy Taylor JG","Round 7","Minneapolis South FN",0
"Kent Denver CC","Round 7","Bronx Science DK",0
"Lane Tech BM","Round 7","Ft. Lauderdale CW",0
"Lane Tech CM","Round 7","Dowling Catholic CH",0
"Little Rock MD","Round 7","Desert Vista AG",0
"McDowell WS","Round 7","Niles West RN",0
"Munster WD","Round 7","West TB",1
"Northside KS","Round 7","Von Steuben CE",0
"Okemos RZ","Round 7","SVDP PR",1
"Perry HH","Round 7","Eagan RW",0
"Perry HY","Round 7","Eric Solorio LN",1
"Phoenix Military DL","Round 7","Isidore Newman FL",0
"Rosemount KS","Round 7","Cedar Rapids MM",1
"UC Lab WD","Round 7","Grapevine WB",0
"Union SG","Round 7","Mountain Brook SW",1
"Wayzata JA","Round 7","Neenah DD",0
"West PM","Round 7","George Washington AC",0
"Winston Churchill WM","Round 7","Isidore Newman ZA",0
"Wooster CL","Round 7","West Bloomfield NA",0
"Cedar Rapids MM","Round 7","Rosemount KS",0
"Eric Solorio LN","Round 7","Perry HY",0
"Eric Solorio TB","Round 7","Evanston MM",0
"Loyola CC","Round 7","Cathedral Prep HK",0
"Morrison SC","Round 7","Rosemount BS",1
"Mountain Brook HK","Round 7","Carrollton PP",0
"Mountain Brook SW","Round 7","Union SG",0
"Mukwonago DA","Round 7","Thomas Jefferson SW",1
"Rufus King PS","Round 7","Heartland GM",1
"SVDP PR","Round 7","Okemos RZ",0
"West TB","Round 7","Munster WD",0
"Heartland GM","Round 7","Rufus King PS",0
"OPRF AJ","Round 7","FFT",0
"Rosemount BS","Round 7","Morrison SC",0
"Thomas Jefferson SW","Round 7","Mukwonago DA",0
