"team","round","opponent","win"
"Cypress Bay VH","Round 3","Cathedral Prep LS",1
"Denver Arts HI","Round 3","Cypress Bay MF",0
"East Kentwood OB","Round 3","Wayzata AJ",1
"Edina RL","Round 3","Lexington CD",0
"Edina WS","Round 3","Washburn Rural WN",1
"Evanston FJ","Round 3","Grapevine PS",1
"GPS MC","Round 3","Little Rock SC",1
"Head Royce FD","Round 3","Woodward BP",0
"Highland GO","Round 3","Katy Taylor BK",1
"ICW TR","Round 3","George Washington AC",1
"Jesuit Prep BR","Round 3","Wayzata SL",0
"Jesuit Prep HL","Round 3","Maine East PS",1
"Jesuit Prep LV","Round 3","Law Magnet GT",0
"Kent Denver KC","Round 3","Dowling CH",1
"Law Magnet GT","Round 3","Jesuit Prep LV",1
"Lexington CD","Round 3","Edina RL",1
"Lexington LM","Round 3","UC Lab BJ",1
"Loyola GT","Round 3","Walter Payton MS",1
"Maine East PS","Round 3","Jesuit Prep HL",0
"MBA ZY","Round 3","Damien JR",0
"Millard North HK","Round 3","Pine Crest VJ",1
"New Trier WB","Round 3","Whitney Young RJ",0
"Niles North BB","Round 3","Kinkaid YB",0
"Niles West BS","Round 3","South Eugene LS",1
"Pace MT","Round 3","Whitney Young BF",1
"Rufus King GR","Round 3","Evanston MM",1
"SME BP","Round 3","Niles West NR",1
"University Prep CM","Round 3","Winston Churchill WM",1
"Walter Payton MS","Round 3","Loyola GT",0
"Washburn Rural DS","Round 3","Wooster CL",0
"Wayzata SL","Round 3","Jesuit Prep BR",1
"WDMV HH","Round 3","Peninsula TW",0
"WDMV SD","Round 3","Eric Solorio LN",1
"West Bloomfield HH","Round 3","Greenhill MW",0
"Westminster CB","Round 3","Damien MP",0
"Westwood HH","Round 3","GPS AS",0
"Whitney Young BF","Round 3","Pace MT",0
"Whitney Young SO","Round 3","Wayzata JM",0
"Woodward AS","Round 3","Union JS",1
"Alpharetta KK","Round 3","Edgemont JM",0
"Anderson SG","Round 3","TCC CF",0
"Barstow FM","Round 3","Greenhill KS",0
"Berkeley Prep SS","Round 3","East Kentwood MR",1
"Bishop Guertin KV","Round 3","Kapaun Mt. Caramel HW",0
"Bronx Science DK","Round 3","West TB",1
"Carrollton TP","Round 3","Harker SJ",0
"CPS FT","Round 3","Morrison SC",1
"Cypress Bay HK","Round 3","OPRF PT",1
"Cypress Bay MF","Round 3","Denver Arts HI",1
"Damien AY","Round 3","Lindblom TH",0
"Damien JR","Round 3","MBA ZY",1
"Dowling Catholic CH","Round 3","Kent Denver KC",0
"Eagan RW","Round 3","Highland Park MM",0
"East Kentwood MR","Round 3","Berkeley Prep SS",0
"Edina CS","Round 3","Alpharetta GK",0
"Ft. Lauderdale CW","Round 3","Walter Payton BC",0
"George Washington AC","Round 3","ICW TR",0
"Grapevine WB","Round 3","UC Lab CR",0
"Greenhill MW","Round 3","West Bloomfield HH",1
"Highland Park MM","Round 3","Eagan RW",1
"Homestead LS","Round 3","Kinkaid RR",1
"ICW KT","Round 3","Westminster DH",0
"Isidore Newman FL","Round 3","New Trier HS",0
"Isidore Newman ZA","Round 3","Barstow NF",0
"Kapaun Mt. Carmel HW","Round 3","Bishop Guertin KV",1
"Lindblom TH","Round 3","Damien AY",1
"Little Rock SC","Round 3","GPS MC",0
"Millard North SB","Round 3","West AL",0
"Minneapolis South FN","Round 3","Mountain Brook SW",1
"Mukwonago MJ","Round 3","Little Rock WW",0
"Neenah DD","Round 3","Union SG",1
"New Trier HS","Round 3","Isidore Newman FL",1
"Niles West RN","Round 3","SME BP",0
"Northside BE","Round 3","UC Lab WD",1
"Northside JS","Round 3","Heartland GM",1
"Notre Dame FR","Round 3","Iowa City ZW",0
"OPRF PT","Round 3","Cypress Bay HK",0
"Pine Crest TC","Round 3","Munster WD",1
"Sage Ridge KR","Round 3","Law Magnet GJ",0
"South Eugene LS","Round 3","Niles West BS",0
"Thomas Jefferson PS","Round 3","Mountain Brook HK",1
"UC Lab BJ","Round 3","Lexington LM",0
"Union JS","Round 3","Woodward AS",0
"Von Steuben CE","Round 3","Harker WH",0
"Washburn Rural WN","Round 3","Edina WS",0
"West AL","Round 3","Millard North SB",1
"West Bloomfield NA","Round 3","Barstow DP",1
"Barstow DP","Round 3","West Bloomfield NA",0
"Barstow NF","Round 3","Isidore Newman ZA",0
"Blake BO","Round 3","Rufus King PS",1
"Carrollton PP","Round 3","Centennial LP",0
"Cathedral Prep HK","Round 3","CPS DH",0
"Desert Vista AG","Round 3","West PM",1
"Dougherty Valley FF","Round 3","Bronx Science GM",0
"Evanston MM","Round 3","Rufus King GR",0
"HoFlo MP","Round 3","Rosemount BS",1
"Homestead CL","Round 3","Loyola CC",1
"Katy Taylor BK","Round 3","Highland GO",0
"Katy Taylor JG","Round 3","Lane Tech CM",0
"Kent Denver CC","Round 3","Kapuan PY",1
"Lane Tech BM","Round 3","McDowell WS",1
"Lane Tech CM","Round 3","Katy Taylor JG",1
"Little Rock MD","Round 3","Mukwonago DA",1
"McDowell WS","Round 3","Lane Tech BM",0
"Munster WD","Round 3","Pine Crest TC",0
"Northside KS","Round 3","Kapaun Mt. Carmel CE",0
"Okemos RZ","Round 3","Cedar Rapids MM",0
"Perry HH","Round 3","Rosemount KS",0
"Perry HY","Round 3","Thomas Jefferson SW",1
"Phoenix Military DL","Round 3","Head Royce PC",0
"Rosemount KS","Round 3","Perry HH",1
"UC Lab WD","Round 3","Northside BE",0
"Union SG","Round 3","Neenah DD",0
"Wayzata JA","Round 3","East Kentwood OB",0
"West PM","Round 3","Desert Vista AG",0
"Winston Churchill WM","Round 3","University Prep CM",0
"Wooster CL","Round 3","Washburn Rural DS",0
"Cedar Rapids MM","Round 3","Okemos RZ",1
"Eric Solorio LN","Round 3","WDMV SD",0
"Eric Solorio TB","Round 3","Meadows BN",0
"Loyola CC","Round 3","Homestead CL",0
"Morrison SC","Round 3","CPS FT",0
"Mountain Brook HK","Round 3","Thomas Jefferson PS",0
"Mountain Brook SW","Round 3","Minneapolis South FN",0
"Mukwonago DA","Round 3","Little Rock MD",0
"Rufus King PS","Round 3","Blake BO",0
"SVDP PR","Round 3","SME MD",0
"West TB","Round 3","Bronx Science DK",0
"Heartland GM","Round 3","Northside JS",0
"OPRF AJ","Round 3","Berkeley EL",0
"Rosemount BS","Round 3","HoFlo MP",0
"Thomas Jefferson SW","Round 3","Perry HY",0
"SVDP HM","Round 4","Walter Payton BC",1
"Westminster DH","Round 4","Cypress Bay HK",1
"Blake SW","Round 4","Highland Park BD",0
"HoFlo HL","Round 4","West Bloomfield NA",1
"Law Magnet JG","Round 4","Lexington LM",1
"Little Rock WW","Round 4","Iowa City WZ",1
"New Trier BK","Round 4","Little Rock SC",1
"Niles West GG","Round 4","Edgemont JM",1
"Notre Dame PC","Round 4","Jesuit Prep HL",1
"Pace FM","Round 4","Peninsula TW",1
