"team","round","opponent","win"
"La Cueva GH","Round 3","Green Valley SS",1
"Lowell CL","Round 3","Copper Hills MN",0
"McClintock GW","Round 3","Sky View CS",1
"Robert McQueen RR","Round 3","College Prep MR",0
"Salpointe Catholic MT","Round 3","Hamilton SI",1
"Bishop O'Dowd HJ","Round 3","La Cueva EJ",1
"Chandler AN","Round 3","College Prep CG",0
"College Prep NL","Round 3","Hamilton JR",1
"College Prep ZS","Round 3","Los Alamos W",0
"Copper Hills MN","Round 3","Lowell CL",1
"Cupertino AT","Round 3","Polytechnic WX",0
"Desert Vista AG","Round 3","Damien AY",0
"Green Valley SS","Round 3","La Cueva GH",0
"Hamilton SI","Round 3","Salpointe Catholic MT",0
"La Cueva EJ","Round 3","Bishop O'Dowd HJ",0
"Layton NL","Round 3","Bingham WW",0
"Los Alamos WZ","Round 3","College Prep ZS",1
"Loyola CC","Round 3","College Prep MD",0
"Palo Verde QS","Round 3","Sky View LM",0
"Palo Verde SW","Round 3","College Prep HW",0
"Polytechnic FD","Round 3","Kent Denver MC",0
"Sky View CS","Round 3","McClintock GW",0
"BASIS Chandler BP","Round 3","Los Alamos CP",1
"BASIS Chandler KK","Round 3","Albuquerque AS",0
"Coronado RS","Round 3","Copper Hills BT",0
"Hamilton JK","Round 3","West LP",0
"Hamilton JR","Round 3","College Prep NL",0
"Juan Diego MP","Round 3","Lowell DZ",1
"Logan AC","Round 3","Coronado HS",0
"Los Alamos CP","Round 3","BASIS Chandler BP",0
"Lowell DZ","Round 3","Juan Diego MP",0
"West JL","Round 3","Hamilton VK",0
"Corona del Sol FZ","Round 3","BYE",0
"College Prep XK","Round 4","Hamilton FZ",1
"Loyola GT","Round 4","Chandler CS",1
"Brophy SS","Round 4","Copper Hills LW",1
"College Prep JM","Round 4","Chandler Prep FG",1
"College Prep TH","Round 4","Polytechnic HM",1
"Damien JR","Round 4","Leland VV",1
"Green Valley SA","Round 4","West AB",1
"Leland VV","Round 4","Damien JR",0
"Polytechnic HM","Round 4","College Prep TH",0
"West AB","Round 4","Green Valley SA",0
"Bingham SS","Round 4","Brophy GS",0
"Bingham WW","Round 4","Hamilton SI",1
"Brophy GS","Round 4","Bingham SS",1
"Chandler CS","Round 4","Loyola GT",0
"Chandler Prep FG","Round 4","College Prep JM",0
"College Prep CG","Round 4","Palo Verde SW",1
"College Prep MR","Round 4","Hamilton JR",1
"Coronado HS","Round 4","Los Alamos W",1
"Damien AY","Round 4","Hamilton JK",1
"Damien MP","Round 4","Kent Denver KK",1
"Desert Vista LQ","Round 4","Los Alamos RW",0
"Hamilton FZ","Round 4","College Prep XK",0
"Hamilton VK","Round 4","Juan Diego MP",1
"Los Alamos RW","Round 4","Desert Vista LQ",1
