"","x"
"22920,22919",0.00796605703158573
"22921,24777",0.00130941627768065
"22928,29106",0.000477163868838771
"22935,27139",0.000656568252934907
"22941,25863",0.000240750053923631
"22944,23008",0.000786667039263445
"22959,29108",0.000327050432112101
"22997,24852",0.000363688803264297
"22997,26585",5.06636552809933e-05
"23003,23008",0.000427783576034549
"23007,22944",0.000744574316519676
"23015,24809",3.91828039126777e-05
"23022,23023",0.0039645379671286
"23022,24529",0.00117569536602393
"23022,29081",0.00191538705560845
"23023,26496",0.00198463993552246
"23044,296",0.000289168601915568
"23066,17065",0.000530168917287935
"23088,23087",0.00888406246418898
"23093,26531",0.00501592692128661
"23099,26972",0.00036707500639186
"23099,29252",0.000240719455103314
"23132,28921",0.00178304383107321
"23136,23297",0.000786993095559152
"23156,26632",0.00139040786231143
"23157,26635",0.000633829586631443
"23157,26636",0.00128738087945238
"23168,26697",0.00269458959051785
"23171,26596",0.00126200461935439
"23171,27668",2.08987288600464e-05
"23173,16392",0.00174402189291016
"23173,28935",0.000655583846610771
"23189,23191",0.001124202306023
"23189,24826",0.000690009541324086
"23189,26916",0.000836862210354518
"23190,23191",0.00108094297852155
"23191,24820",0.00136786159262665
"23204,27378",0.000235852616235039
"23297,24985",0.000267656316618596
"23297,29218",0.000845585246998708
"23314,23367",0.000896176969592894
"23315,18878",0.00322722096502597
"23315,24873",0.000927340045290832
"23322,24524",0.000257195145381558
"23355,23357",0.000187279005328593
"23357,23355",0.000305354642628553
"23367,23314",0.000952572039103539
"23367,26859",0.000198597875228717
"23386,26549",0.000807928663379065
"23394,23393",0.00198250262431065
"23399,23400",0.00091711592498464
"23399,24727",0.00146414959373206
"23412,25846",0.00074706828476285
"23415,27387",0.00029285057124069
"23449,23451",0.00148192791416881
"23451,25961",0.00112854823891419
"23460,30342",0.000190184750968353
"23487,26852",0.000222166447992627
"23518,24218",0.000746990447909786
"23694,27365",0.000709352973167472
"23718,25738",0.000226469047063595
"23818,28639",0.000247076077082763
"23967,22881",0.000513609919203078
"24062,27466",0.000767237013806447
"24079,25279",0.000419970067615059
"24186,22837",0.000269011496124251
"24186,28807",0.000673216900156456
"24186,28854",0.000173511925582561
"24217,29245",0.000460576234374946
"24218,27750",0.000537812226671668
"24286,23109",0.000503197930960101
"24326,22911",0.00145091302047599
"24326,22913",0.000844134067750069
"24500,24498",0.00111037038246108
"24509,24080",0.0012790663864632
"24509,24099",0.000728388412584696
"24510,15513",0.00531193459082633
"24514,15563",0.00150500533848995
"24514,24515",0.00107883731035307
"24531,26501",0.000502543284516662
"24531,29082",0.000764242367341568
"24540,22838",0.00205332930136867
"24541,15519",0.00375035439743485
"24545,28842",0.000876092447630417
"24545,28843",0.000445197312807482
"24547,28822",0.000923425207739462
"24548,28822",0.0011042268535031
"24552,24546",0.00040463397279936
"24552,28911",0.000304409034840396
"24552,28914",0.000323962660202565
"24554,26482",0.00109405680657922
"24556,23187",0.00243023157974125
"24558,28986",0.00111102724660895
"24558,28990",0.000801401537802227
"24559,26655",0.00403291402087585
"24567,22579",0.000959040009272044
"24572,15498",0.00286555742607132
"24574,26567",0.000232130120477154
"24575,24576",0.00112308273909517
"24575,26663",0.000404032010348753
"24576,24575",0.00183016438057254
"24577,26663",0.00111466114693736
"24589,24591",0.00010580354471919
"24606,22853",0.00174658093882026
