"","aff","aff_speaks","neg","neg_speaks","win"
"165","16884,15639",0,"15592,22757",0,"1"
"166","24694,24693",0,"24610,15535",0,"0"
"167","16210,15591",0,"15478,118",0,"1"
"168","20681,23132",0,"24609,24608",0,"1"
"169","24610,15535",0,"15599,15603",0,"0"
"170","22775,15448",0,"24709,24712",0,"1"
"171","26485,24588",0,"24695,15704",0,"1"
"172","16884,15639",0,"22738,22739",0,"0"
"173","23088,23087",0,"16210,15591",0,"1"
"174","19582,22770",0,"20681,23132",0,"1"
"175","22755,15601",0,"26633,15488",0,"1"
"176","19582,22770",0,"15516,15517",0,"1"
"177","22775,15448",0,"23088,23087",0,"0"
"178","22738,22739",0,"22755,15601",0,"0"
"179","15599,15603",0,"26485,24588",0,"1"
"180","19582,22770",0,"22755,15601",0,"0"
"181","23088,23087",0,"15599,15603",0,"1"
"182","23088,23087",0,"22755,15601",0,"1"
"183","23109,24114",54,"24217,24218",54,"1"
"184","26942,26944",54,"26184,27047",55,"0"
"185","26934,26933",54,"27008,27004",54.5,"0"
"186","26380,27118",53,"26158,25092",56,"0"
"187","24340,24286",55,"25846,26138",55,"0"
"188","27048,27049",54.5,"25093,26478",55.5,"0"
"189","26654,24842",53,"25951,26969",57,"0"
"190","26932,26139",54,"26011,26010",54.5,"0"
"191","24296,26946",54.5,"25202,25366",54.5,"0"
"192","26940,26941",54,"26930,27079",55.5,"0"
"193","23389,23390",55.5,"24681,16730",53.5,"1"
"194","26966,26963",54.5,"22818,26477",55.5,"0"
"195","23394,23393",58.5,"23411,23412",57,"0"
"196","26673,24863",56.5,"23718,27108",52,"1"
"197","26479,25805",55,"25063,25068",55.5,"0"
"198","24213,16661",52.5,"23156,26632",54.5,"0"
"199","15673,15672",55.5,"25065,23755",52.5,"1"
"200","23518,26653",52.5,"26549,24805",53,"0"
"201","27169,25493",55.5,"24634,22824",53.5,"1"
"202","25117,23155",53,"26490,26489",57,"0"
"203","27006,27005",53,"26936,26935",52.5,"1"
"204","26184,27047",55,"26932,26139",55,"1"
"205","26011,26010",52.5,"26934,26933",51,"1"
"206","26930,27079",52,"26654,24842",51,"1"
"207","26158,25092",56.5,"27006,27005",54.5,"1"
"208","24217,24218",57,"27057,23270",56,"1"
"209","27008,27004",55,"26940,26941",54.5,"0"
"210","25951,26969",54,"26942,26944",53,"1"
"211","26936,26935",55.5,"26380,27118",55.5,"1"
"212","25065,23755",54,"25117,23155",55.5,"0"
"213","22818,26477",54,"27169,25493",54,"1"
"214","24681,16730",55,"23818,23653",53,"1"
"215","26490,26489",55.5,"15673,15672",55,"1"
"216","23156,26632",56.5,"23389,23390",54.5,"1"
"217","24634,22824",52.5,"23394,23393",55.5,"0"
"218","25846,26138",55,"27048,27049",55.5,"0"
"219","25063,25068",57.5,"26966,26963",55,"1"
"220","23411,23412",56,"23518,26653",57,"0"
"221","23718,27108",54.5,"24213,16661",54,"1"
"222","25202,25366",55.5,"23109,24114",55.5,"1"
"223","25093,26478",53,"24340,24286",54.5,"1"
"224","26549,24805",54.5,"26673,24863",56.5,"0"
"225","23394,23393",56.5,"22818,26477",55.5,"1"
"226","24681,16730",56,"25117,23155",56.5,"1"
"227","24213,16661",54,"26966,26963",53.5,"1"
"228","23518,26653",56,"23718,27108",56,"0"
"229","25846,26138",53.5,"25202,25366",53,"0"
"230","15673,15672",56.5,"26479,25805",56,"1"
"231","23818,23653",54,"23411,23412",56.5,"0"
"232","26673,24863",56,"26490,26489",55.5,"1"
"233","23156,26632",56,"25063,25068",55,"1"
"234","26158,25092",53.5,"26184,27047",53,"0"
"235","26932,26139",56.5,"26936,26935",55,"1"
"236","26942,26944",50,"26930,27079",52,"0"
"237","27006,27005",54,"25951,26969",56,"0"
"238","26940,26941",51,"27008,27004",54,"0"
"239","26654,24842",53,"26380,27118",50,"1"
"240","26934,26933",52,"26011,26010",54.5,"0"
"241","27057,23270",52,"25093,26478",55,"0"
"242","26549,24805",56.5,"27169,25493",58.5,"0"
"243","24296,26946",56,"24217,24218",57.5,"0"
"244","24340,24286",53,"27048,27049",55.5,"0"
"245","25065,23755",54.5,"23389,23390",57.5,"0"
"246","26380,27118",55,"27006,27005",56,"0"
"247","22818,26477",55.5,"26673,24863",55.5,"1"
"248","25202,25366",57,"27057,23270",55,"1"
"249","25093,26478",55,"24296,26946",50,"1"
"250","24217,24218",54,"25846,26138",55,"0"
"251","27048,27049",54,"23109,24114",56,"0"
"252","26184,27047",55,"26654,24842",54,"1"
"253","27008,27004",53.5,"26942,26944",52.5,"1"
"254","26930,27079",56.5,"26932,26139",56.5,"0"
"255","25951,26969",57,"26940,26941",53,"1"
"256","26936,26935",54.5,"26934,26933",54.5,"0"
"257","23718,27108",55,"15673,15672",55,"1"
"258","26966,26963",54.5,"23394,23393",56,"0"
"259","26479,25805",56.5,"24213,16661",54,"1"
"260","26490,26489",54,"23156,26632",56,"0"
"261","25063,25068",55.5,"23818,23653",54.5,"1"
"262","23411,23412",54.5,"24634,22824",52.5,"1"
"263","26011,26010",54.5,"26158,25092",56.5,"0"
"264","23389,23390",56,"23518,26653",56,"1"
"265","27169,25493",54.5,"24681,16730",54.5,"1"
"266","25117,23155",55,"26549,24805",56,"0"
"267","25846,26138",54,"25093,26478",58,"0"
"268","23109,24114",55,"24296,26946",54.5,"1"
"269","24217,24218",55,"25202,25366",52,"1"
"270","25065,23755",55,"24213,16661",56,"0"
"271","26549,24805",53.5,"26490,26489",56.5,"0"
"272","15673,15672",56.5,"24681,16730",56,"1"
"273","24634,22824",49,"23518,26653",53,"0"
"274","25117,23155",55.5,"23818,23653",54.5,"1"
"275","26479,25805",56,"23389,23390",56.5,"0"
"276","25063,25068",55,"22818,26477",55.5,"1"
"277","24340,24286",54,"27057,23270",50,"1"
"278","26158,25092",57,"26936,26935",53,"1"
"279","26942,26944",54.5,"26934,26933",52.5,"1"
"280","25951,26969",54,"26380,27118",54,"0"
"281","27008,27004",54,"26184,27047",56,"0"
"282","27006,27005",53.5,"26940,26941",53.5,"1"
"283","23718,27108",54,"23394,23393",54.5,"0"
"284","23411,23412",56,"23156,26632",57,"0"
