"team","round","opponent","win"
"University BM","Round 4","Berkeley Prep MY",1
"Wayzata JM","Round 4","Pace FA",1
"Westminster CK","Round 4","St Marks KP",0
"BVSW LH","Round 4","HoFlo HL",1
"BVSW ZF","Round 4","Jesuit LV",1
"Jesuit CP BR","Round 4","Kapaun Mt. Carmel HE",1
"Jesuit CP HL","Round 4","LRC WW",1
"New Trier BW","Round 4","Notre Dame CP",0
"New Trier DS","Round 4","Wesminster KD",0
"Niles West GG","Round 4","Law Magnet GT",0
"Westminster KD","Round 4","New Trier DS",1
"Woodward AH","Round 4","Greenhill KS",0
"Damien JR","Round 4","Carrolton CP",0
"Harker SH","Round 4","Blake SW",0
"HoFlo HL","Round 4","BVSW LH",0
"Montgomery Bell GJ","Round 4","Berkeley Prep SS",1
"Niles North BB","Round 4","Wayzata KS",1
"Niles North WM","Round 4","Westminster RD",0
"Westminster RD","Round 4","Niles North WM",1
"Woodward PB","Round 4","Georgetown Day SK",1
"Westminster CB","Round 4","Peninsula TW",0
"Bishop Guertin KV","Round 4","Damien MP",0
"Calhoun BF","Round 4","Harker HW",1
"Harker HW","Round 4","Calhoun BF",0
"Harker SJ","Round 4","East Kentwood BO",0
"Kapaun Mt. Carmel HE","Round 4","Jesuit HL",0
"Lexington ML","Round 4","Carrolton GB",0
"Niles West TB","Round 4","New Trier BK",0
"Rowland Hall BB","Round 4","Highland Park CM",0
"Woodward AS","Round 4","Notre Dame FR",0
"Lionel Wilson HS","Round 4","Marist AV",0
"Berkeley Prep MY","Round 4","University BM",0
"Highland Park (TX) CM","Round 4","Rowland Hall BB",0
"Jesuit CP LV","Round 4","BVSW ZF",0
"Midway CH","Round 4","Carrolton FP",1
"Berkeley Prep SS","Round 4","Montgomery Bell GJ",0
"Carrollton FP","Round 4","Midway CH",0
"Georgetown Day BQ","Round 4","Strath Haven GM",1
"Georgetown Day SK","Round 4","Woodward PB",0
"Midway KK","Round 4","Skyline KK",1
"Skyline AA","Round 4","Blake NW",0
"Skyline HL","Round 4","Midway KK",0
"Wayzata KS","Round 4","Niles North BB",0
"Berkner RD","Round 4","Niles North CL",0
"Niles North CL","Round 4","Berkner RD",1
"Strath Haven GM","Round 4","Georgetown BQ",0
"Rowland Hall GL","Round 5","LRC WW",1
"St. Mark's KP","Round 5","Peninsula TW",1
"Carrollton CP","Round 5","Blake SW",1
"Glenbrook South CA","Round 5","East Kentwood BO",1
"Glenbrook South SR","Round 5","Wayzata JM",1
"New Trier BK","Round 5","Notre Dame FR",1
"Peninsula TW","Round 5","St. Mark's KP",0
"Blake NW","Round 5","Harker SH",1
"Blake SW","Round 5","Carrolton CP",0
"Carrollton GB","Round 5","Woodward PB",1
"Damien MP","Round 5","St. Mark's GW",1
"East Kentwood BO","Round 5","Glenbrook South CA",0
"Greenhill KS","Round 5","Notre Dame CP",0
"Highland Park (MN) BD","Round 5","Westminster RD",1
"Law Magnet GT","Round 5","Lionel Wilson HS",1
"Little Rock Central WW","Round 5","Rowland Hall GL",0
"Marist AV","Round 5","Westminster CK",0
"Montgomery Bell KR","Round 5","Westminster KD",1
"Notre Dame CP","Round 5","Greenhill KS",1
"Notre Dame FR","Round 5","New Trier BK",0
"Pace FA","Round 5","Niles West TB",1
"St. Mark's GW","Round 5","Damien MP",0
"University BM","Round 5","Woodward AS",1
"Wayzata JM","Round 5","Glenbrook South SR",0
"Westminster CK","Round 5","Marist AV",1
"BVSW LH","Round 5","Damien JR",1
"BVSW ZF","Round 5","Niles North BB",1
"Jesuit CP BR","Round 5","Westminster CB",1
"Jesuit CP HL","Round 5","Harker SJ",1
"New Trier BW","Round 5","Montgomery Bell GJ",1
"New Trier DS","Round 5","Bishop Guertin KV",1
"Niles West GG","Round 5","Midway GG",1
"Westminster KD","Round 5","Montgomery Bell KR",0
"Woodward AH","Round 5","Calhoun BF",1
"Damien JR","Round 5","BVSW LH",0
"Harker SH","Round 5","Blake NW",0
"HoFlo HL","Round 5","Georgetown Day BQ",1
"Montgomery Bell GJ","Round 5","New Trier BW",0
"Niles North BB","Round 5","BVSW ZF",0
"Niles North WM","Round 5","Berkeley Prep MY",1
"Westminster RD","Round 5","Highland Park BD",0
"Woodward PB","Round 5","Carrolton GB",0
"Westminster CB","Round 5","Jesuit BR",0
"Bishop Guertin KV","Round 5","New Trier DS",0
"Calhoun BF","Round 5","Woodward AH",0
"Harker HW","Round 5","Georgetown Day SK",1
"Harker SJ","Round 5","Jesuit HL",0
"Kapaun Mt. Carmel HE","Round 5","Niles North CL",1
"Lexington ML","Round 5","Highland Park CM",1
"Niles West TB","Round 5","Pace FA",0
"Rowland Hall BB","Round 5","Wayzata KS",1
"Woodward AS","Round 5","University BM",0
"Lionel Wilson HS","Round 5","Law Magnet GT",0
"Berkeley Prep MY","Round 5","Niles North WM",0
"Highland Park (TX) CM","Round 5","Lexington ML",0
"Jesuit CP LV","Round 5","Midway CH",0
"Midway CH","Round 5","Jesuit LV",0
"Berkeley Prep SS","Round 5","Skyline AA",1
"Carrollton FP","Round 5","Berkner RD",1
"Georgetown Day BQ","Round 5","Hoflo HL",0
"Georgetown Day SK","Round 5","Harker HW",0
"Midway KK","Round 5","Niles West GG",0
"Skyline AA","Round 5","Berkeley Prep SS",0
"Skyline HL","Round 5","Strath Haven GM",1
"Wayzata KS","Round 5","Rowland Hall BB",0
"Berkner RD","Round 5","Carrolton FP",0
"Niles North CL","Round 5","Kapaun Mount Carmel HE",0
