"team","round","opponent","win"
"Notre Dame PP","Round 6","Jesuit Prep KT",0
"Oak Hill RT","Round 6","USN MR",1
"Oakland Tech PT","Round 6","Sonoma GK",1
"OES GR","Round 6","Palo Verde RS",1
"Sage Ridge KR","Round 6","Rowland Hall BS",1
"St George's MV","Round 6","Oak Hill ES",0
"St. Francis GL","Round 6","Garfield CZ",1
"SVDP PR","Round 6","Damien CJ",1
"Alliance Stern AV","Round 6","Harker WH",0
"Ashland DB","Round 6","Cupertino AT",1
"Barstow FN","Round 6","Lynbrook VN",1
"Beckman CC","Round 6","Interlake GL",0
"Bingham KW","Round 6","Whitney Young FB",0
"Brophy SG","Round 6","Polytechnic MH",0
"Canyon Crest RT","Round 6","University Fresno BR",1
"Chaminade CR","Round 6","Cypress Bay VSX",1
"Chaminade TA","Round 6","Isidore Newman AW",1
"Cherry Creek GL","Round 6","Cypress Bay VS",0
"Clovis North SM","Round 6","Lionel Wilson AB",1
"College Prep NP","Round 6","Bellarmine SJ",1
"Crosby FM","Round 6","Niles West BS",0
"Damien AY","Round 6","Isidore Newman FL",0
"Damien CJ","Round 6","SVDP PR",0
"Damien HB","Round 6","Lowell BC",1
"Denver East YO","Round 6","New Trier CS",0
"Dougherty Valley FF","Round 6","Bishop O'Dowd JH",0
"Fairview KW","Round 6","Loyola GT",0
"Fairview LL","Round 6","Bingham SS",0
"Garfield CZ","Round 6","St. Francis GL",0
"Garfield PR","Round 6","Notre Dame Pa",1
"Garfield SR","Round 6","Leland JJ",0
"Harker BO","Round 6","Casady CP",0
"Harker RS","Round 6","New Trier GT",0
"Head Royce MW","Round 6","Rowland Hall BL",0
"Head Royce SH","Round 6","Peninsula AS",1
"Henry W. Grady CW","Round 6","Little Rock WW",0
"Interlake CW","Round 6","Kent Denver MM",0
"Interlake RY","Round 6","Orosi PR",1
"James Logan SB","Round 6","Peninsula TW",0
"Kent Denver HC","Round 6","Head Royce HY",1
"LA SP","Round 6","Sonoma VK",1
"Little Rock CT","Round 6","Interlake LL",0
"Littleton LS","Round 6","Bingham HM",0
"Lowell CL","Round 6","Bellarmine NF",0
"Lowell DZ","Round 6","Bellarmine SP",0
"Loyola CC","Round 6","University CR",0
"Lynbrook MC","Round 6","Sonoma DS",0
"Lynbrook MK","Round 6","Asian Debate CS",1
"Nevada Union LM","Round 6","College Prep TC",0
"New Trier CI","Round 6","Evergreen AC",0
"Palo Verde RS","Round 6","OES GR",0
"Peninsula MS","Round 6","Notre Dame LH",1
"Reno BH","Round 6","Notre Dame AM",0
"Rowland Hall BS","Round 6","Sage Ridge KR",0
"Rowland Hall DS","Round 6","University Fresno HT",1
"Sonoma DS","Round 6","Lynbrook MC",1
"Sonoma GK","Round 6","Oakland Tech PT",0
"University Fresno BS","Round 6","Peninsula JT",1
"USN BK","Round 6","University Fresno SW",1
"Asian Debate CS","Round 6","Lynbrook MK",0
"Bellarmine SJ","Round 6","College Prep NP",0
"Cypress Bay VSX","Round 6","Chaminade CR",0
"Head Royce HY","Round 6","Kent Denver HC",0
"Isidore Newman AW","Round 6","Chaminade TA",0
"Leland IC","Round 6","Lowell LC",1
"Lionel Wilson AB","Round 6","Clovis North SM",0
"Notre Dame LH","Round 6","Peninsula MS",0
"Notre Dame Pa","Round 6","Garfield PR",0
"Oakland Tech BK","Round 6","Delta Charter QS",1
"Orosi PR","Round 6","Interlake RY",0
"Peninsula AS","Round 6","Lynbrook MC",0
"Peninsula JT","Round 6","University Fresno BS",0
"Sonoma VK","Round 6","LA SP",0
"University Fresno HT","Round 6","Rowland Hall DS",0
"University Fresno SW","Round 6","USN BK",0
"USN MR","Round 6","Oak Hill RT",0
"CK McClatchy MD","Round 6","FFT",0
"Cupertino AT","Round 6","Ashland DB",0
"Delta Charter QS","Round 6","Oakland Tech BK",0
"Lowell BC","Round 6","Damien HB",0
"Lowell LC","Round 6","Leland IC",0
"Lynbrook VN","Round 6","Barstow FN",0
"University Fresno BR","Round 6","Canyon Crest RT",0
