"team","round","opponent","win"
"CK McClatchy HN","Round 3","Jesuit Prep KT",1
"Polytechnic WX","Round 3","University (NJ) MB",1
"University (NJ) MB","Round 3","Polytechnic WX",0
"Juan Diego AB","Round 3","Notre Dame PP",1
"CK McClatchy BF","Round 3","S. Eugene LS",1
"New Trier HS","Round 3","Lane Tech HV",1
"CK McClatchy LP","Round 3","College Prep RH",1
"Head Royce CP","Round 3","Garfield PR",1
"Chandler CS","Round 3","New Trier BY",1
"Lindale RT","Round 3","Palo Verde RS",1
"Peninsula JK","Round 3","Damien AY",1
"Centennial LP","Round 3","Lindale DW",1
"Peninsula TW","Round 3","Kinkaid BY",0
"Calhoun KS","Round 3","Interlake GL",1
"Notre Dame FR","Round 3","New Trier CI",1
"Jesuit Prep BR","Round 3","Peninsula JT",1
"Damien MP","Round 3","Oak Hill ES",1
"La Costa Canyon YM","Round 3","Katy Taylor AL",0
"Loyola GT","Round 3","Niles West SB",0
"Interlake DS","Round 3","Bellarmine RCP S",1
"Denver East MM","Round 3","Cypress Bay VS",1
"Juan Diego DM","Round 3","Little Rock JJ",1
"Polytechnic MH","Round 3","Kinkaid RR",0
"Bishop O'Dowd JH","Round 3","University Prep CM",0
"Brophy SS","Round 3","Barstow FN",1
"Damien JR","Round 3","Lynbrook MK",1
"Leland VV","Round 3","Henry W. Grady CW",0
"Jesuit Prep HL","Round 3","Encinitas WW",0
"S. Eugene LS","Round 3","CK McClatchy BF",0
"Kent Denver KK","Round 3","Barstow MF",0
"Cypress Bay FM","Round 3","Denver East YO",1
"Greenhill MW","Round 3","Niles West BS",1
"Lionel Wilson HS","Round 3","New Trier GT",1
"Whitney Young FB","Round 3","College Prep JM",1
"New Trier BW","Round 3","Coppell CD",1
"Whitney Young RJ","Round 3","Little Rock AD",1
"University Prep CM","Round 3","Bishop O'Dowd JH",1
"University CR","Round 3","BYE",1
"Santa Margarita CW","Round 3","Bellarmine RCP SJ",1
"USN BW","Round 3","Nevada Union MS",0
"Rowland Hall BL","Round 3","Chaminade AL",1
"Rowland Hall BM","Round 3","Sonoma DS",1
"Leland YD","Round 3","Damien CJ",1
"Kinkaid RR","Round 3","Polytechnic MH",1
"Nevada Union MS","Round 3","USN BW",1
"Chaminade AL","Round 3","Rowland Hall BL",0
"College Prep MM","Round 3","Walter Payton BC",0
"Skyline AA","Round 3","CK McClatchy MD",1
"Barstow MF","Round 3","Kent Denver KK",1
"College Prep RH","Round 3","CK McClatchy LP",0
"College Prep XK","Round 3","Asian Debate CS",1
"Cypress Bay KK","Round 3","Harker JS",0
"Heritage Hall DV","Round 3","Harker HS",0
"Highland GO","Round 3","Cypress Bay HK",1
"Highland Park CP","Round 3","Rowland Hall DS",1
"Jesuit Prep KT","Round 3","CK McClatchy HN",0
"Jesuit Prep LV","Round 3","Skyline HL",0
"Oak Hill ES","Round 3","Damien MP",0
"OES JL","Round 3","Harker KH",0
"Polytechnic DL","Round 3","Leland JJ",1
"AKF NF","Round 3","East Kentwood BO",0
"Bellarmine NF","Round 3","Nevada Union LM",1
"Bellarmine RC","Round 3","Atholton KS",0
"Bellarmine SP","Round 3","Interlake DS",0
"Bingham HM","Round 3","Fairview LL",1
"Bingham SS","Round 3","Cherry Creek GL",1
"Bingham WW","Round 3","Head Royce DL",0
"Calhoun BF","Round 3","Isidore Newman AW",1
"Casady CP","Round 3","Oakland Tech BK",1
